experiment,amm_type,steps,seed,total_steps,avg_price_gap,max_price_gap,min_price_gap,avg_volatility,max_volatility,price_stability,initial_k,final_k,k_growth_percent,total_swaps,arb_trades,arb_profit,lp_exited,lp_panic_events,num_runs,seed_base,avg_price_gap_mean,avg_price_gap_std,avg_price_gap_min,avg_price_gap_max,max_price_gap_mean,max_price_gap_std,max_price_gap_min,max_price_gap_max,price_stability_mean,price_stability_std,price_stability_min,price_stability_max,k_growth_percent_mean,k_growth_percent_std,k_growth_percent_min,k_growth_percent_max,arb_profit_mean,arb_profit_std,arb_profit_min,arb_profit_max,arb_trades_mean,arb_trades_std,arb_trades_min,arb_trades_max,lp_panic_events_mean,lp_panic_events_std,lp_panic_events_min,lp_panic_events_max,total_swaps_mean,total_swaps_std,total_swaps_min,total_swaps_max,avg_volatility_mean,avg_volatility_std,avg_volatility_min,avg_volatility_max,max_volatility_mean,max_volatility_std,max_volatility_min,max_volatility_max,lp_exit_rate,crash_step,crash_magnitude,dump_step,pump_step,volatility_multiplier
baseline,uniswap,500,42.0,500.0,5.21903348961089,41.14412289653592,0.009405169218553056,0.01008624956649683,0.01997250677115631,96.92375023697123,20000166.61694897,20194551.716976605,0.9719174032425615,984.0,381.0,1302.2731884391396,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,uniswap,500,1042.0,500.0,4.630006342454095,44.549650059826035,0.011470660031136504,0.010191946188047765,0.0199927585704754,128.84375486096482,20000799.58645042,20201365.79047837,1.0027909292377624,1030.0,381.0,-2926.2408086887444,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,uniswap,500,,,,,,,,,,,,,,,,,2.0,42.0,4.924519916032493,0.4165050900575361,4.630006342454095,5.21903348961089,42.84688647818098,2.4080713506774285,41.14412289653592,44.549650059826035,112.88375254896803,22.57085172513182,96.92375023697123,128.84375486096482,0.9873541662401619,0.021830879590345693,0.9719174032425615,1.0027909292377624,-811.9838101248024,2990.01092171136,-2926.2408086887444,1302.2731884391396,381.0,0.0,381.0,381.0,0.0,0.0,0.0,0.0,1007.0,32.526911934581186,984.0,1030.0,0.010139097877272298,7.473879784717403e-05,0.01008624956649683,0.010191946188047765,0.019982632670815854,1.4320184629756931e-05,0.01997250677115631,0.0199927585704754,0.0,,,,,
flash_crash,uniswap,500,42.0,500.0,4.4172649490097395,41.14412289653592,0.00808545107372538,0.010018870719135233,0.01997296273951583,472.87833545877305,20000166.61694897,20220082.341329746,1.0995694615584473,1002.0,379.0,-131.34618443937507,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,-0.5,,,
flash_crash,uniswap,500,1042.0,500.0,3.947255772057737,44.549650059826035,0.007682794892161837,0.010191054826595217,0.01994323454686864,464.7376667602309,20000799.58645042,20228171.876673266,1.136816001980634,1073.0,383.0,15089.81231228757,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,-0.5,,,
flash_crash,uniswap,500,,,,,,,,,,,,,,,,,2.0,42.0,4.182260360533738,0.33234667624266895,3.947255772057737,4.4172649490097395,42.84688647818098,2.4080713506774285,41.14412289653592,44.549650059826035,468.808001109502,5.756322040132206,464.7376667602309,472.87833545877305,1.1181927317695406,0.026337281308267048,1.0995694615584473,1.136816001980634,7479.233063924097,10762.984390550859,-131.34618443937507,15089.81231228757,381.0,2.8284271247461903,379.0,383.0,0.0,0.0,0.0,0.0,1037.5,50.204581464244875,1002.0,1073.0,0.010104962772865225,0.00012175254999750802,0.010018870719135233,0.010191054826595217,0.019958098643192236,2.1021006613247802e-05,0.01994323454686864,0.01997296273951583,0.0,,,,,
whale_manipulation,uniswap,600,42.0,600.0,5.132430630853919,41.14412289653592,0.009390870499146331,0.01001037309384388,0.019996306144202877,143.24658879106013,20000166.61694897,20251955.212888632,1.2589324917237743,1185.0,456.0,4208.767122077115,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,400.0,
whale_manipulation,uniswap,600,1042.0,600.0,4.6238535194405355,44.549650059826035,0.011470660031136504,0.010150820288428456,0.0199927585704754,122.98959017497963,20000799.58645042,20263810.24334515,1.315000711636083,1243.0,460.0,-1045.5717331208289,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,400.0,
whale_manipulation,uniswap,600,,,,,,,,,,,,,,,,,2.0,42.0,4.8781420751472275,0.35961832423666956,4.6238535194405355,5.132430630853919,42.84688647818098,2.4080713506774285,41.14412289653592,44.549650059826035,133.11808948301987,14.323861087917036,122.98959017497963,143.24658879106013,1.2869666016799286,0.03964621850905202,1.2589324917237743,1.315000711636083,1581.5976944781432,3715.3786351624276,-1045.5717331208289,4208.767122077115,458.0,2.8284271247461903,456.0,460.0,0.0,0.0,0.0,0.0,1214.0,41.012193308819754,1185.0,1243.0,0.010080596691136168,9.931116368938026e-05,0.01001037309384388,0.010150820288428456,0.01999453235733914,2.5085134394591418e-06,0.0199927585704754,0.019996306144202877,0.0,,,,,
high_volatility,uniswap,500,42.0,500.0,6.788589863376076,66.22021138781201,0.012364410283680627,0.04976986329453052,0.09986253385578156,346.22181516265294,20000819.495406825,5216322.625425534,-73.91945551719287,1117.0,481.0,-3205.287306917773,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
